dataset,design,holdout,model,method,iter,n_train,n_test,auc,acer,apcer,bpcer,acc,dev_eer,train_loss,train_acc
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s2,3,12000,24000,0.9779,0.0885,0.1399,0.0372,0.9199,0.0291,0.0024,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s3,3,12000,24000,0.9604,0.1203,0.1798,0.0609,0.8894,0.0629,0.0056,0.9979
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s0,4,12000,24000,0.9771,0.0794,0.1175,0.0412,0.9269,0.0228,0.0062,0.9975
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s1,4,12000,24000,0.9821,0.0778,0.1376,0.0180,0.9320,0.0079,0.0052,0.9981
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s2,4,12000,24000,0.9718,0.0948,0.1591,0.0304,0.9158,0.0184,0.0052,0.9976
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s3,4,12000,24000,0.9783,0.0858,0.1405,0.0310,0.9232,0.0174,0.0038,0.9988
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s0,5,12000,24000,0.9799,0.0986,0.1790,0.0181,0.9146,0.0095,0.0012,0.9996
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s1,5,12000,24000,0.9835,0.1319,0.2476,0.0163,0.8870,0.0107,0.0005,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s2,5,12000,24000,0.9889,0.0873,0.1582,0.0164,0.9243,0.0118,0.0013,0.9995
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s3,5,12000,24000,0.9835,0.1468,0.2814,0.0123,0.8752,0.0075,0.0008,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s0,6,12000,24000,0.9806,0.1037,0.1930,0.0145,0.9109,0.0087,0.0005,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s1,6,12000,24000,0.9845,0.1106,0.2081,0.0130,0.9054,0.0088,0.0022,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s2,6,12000,24000,0.9823,0.1022,0.1885,0.0158,0.9120,0.0075,0.0011,0.9996
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s3,6,12000,24000,0.9891,0.0883,0.1659,0.0108,0.9244,0.0059,0.0008,0.9997
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s0,7,12000,24000,0.9858,0.0720,0.1299,0.0141,0.9375,0.0084,0.0025,0.9991
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s1,7,12000,24000,0.9822,0.1040,0.1970,0.0110,0.9113,0.0099,0.0036,0.9988
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s2,7,12000,24000,0.9649,0.1265,0.2219,0.0312,0.8891,0.0194,0.0073,0.9979
