dataset,design,holdout,model,method,iter,n_train,n_test,auc,acer,apcer,bpcer,acc,dev_eer,train_loss,train_acc
HQ-WMCA,within,,resnet50,standard-s1,5,21532,6636,0.9955,0.0335,0.0081,0.0589,0.9866,0.0377,0.0000,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s4,11,21532,6636,0.9998,0.0130,0.0231,0.0029,0.9791,0.0292,0.0001,1.0000
HQ-WMCA,within,,resnet50,standard-s2,1,21532,6636,0.9983,0.0242,0.0298,0.0187,0.9714,0.0434,0.0002,1.0000
HQ-WMCA,within,,resnet50,standard-s0,6,21532,6636,0.9987,0.0229,0.0084,0.0374,0.9885,0.0267,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s1,6,21532,6636,0.9982,0.0472,0.0067,0.0876,0.9848,0.0350,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s3,1,21532,6636,0.9995,0.0240,0.0049,0.0431,0.9911,0.0270,0.0002,1.0000
HQ-WMCA,within,,resnet50,standard-s2,2,21532,6636,0.9988,0.0193,0.0099,0.0287,0.9881,0.0361,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s0,7,21532,6636,0.9986,0.0215,0.0071,0.0359,0.9899,0.0247,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s1,7,21532,6636,0.9968,0.0242,0.0254,0.0230,0.9748,0.0251,0.0016,0.9995
HQ-WMCA,within,,resnet50,standard-s3,2,21532,6636,0.9997,0.0211,0.0020,0.0402,0.9940,0.0307,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s0,8,21532,6636,0.9986,0.0254,0.0077,0.0431,0.9885,0.0271,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s2,3,21532,6636,0.9988,0.0149,0.0098,0.0201,0.9892,0.0350,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s1,8,21532,6636,0.9990,0.0129,0.0172,0.0086,0.9837,0.0240,0.0001,1.0000
HQ-WMCA,within,,resnet50,standard-s3,3,21532,6636,0.9998,0.0210,0.0003,0.0417,0.9953,0.0269,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s0,9,21532,6636,0.9986,0.0239,0.0089,0.0388,0.9879,0.0273,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s2,4,21532,6636,0.9990,0.0146,0.0104,0.0187,0.9887,0.0342,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s1,9,21532,6636,0.9990,0.0157,0.0214,0.0101,0.9798,0.0217,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s3,4,21532,6636,0.9998,0.0129,0.0013,0.0244,0.9962,0.0330,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s0,10,21532,6636,0.9997,0.0095,0.0133,0.0057,0.9875,0.0300,0.0336,0.9898
HQ-WMCA,within,,resnet50,standard-s2,5,21532,6636,0.9986,0.0237,0.0172,0.0302,0.9815,0.0376,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s1,10,21532,6636,0.9992,0.0134,0.0195,0.0072,0.9818,0.0234,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s3,5,21532,6636,0.9995,0.0091,0.0167,0.0014,0.9849,0.0484,0.0004,1.0000
HQ-WMCA,within,,resnet50,standard-s0,11,21532,6636,0.9998,0.0082,0.0135,0.0029,0.9876,0.0338,0.0001,1.0000
HQ-WMCA,within,,resnet50,standard-s2,6,21532,6636,0.9991,0.0160,0.0091,0.0230,0.9895,0.0332,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s1,11,21532,6636,0.9992,0.0138,0.0204,0.0072,0.9810,0.0219,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s3,6,21532,6636,0.9997,0.0123,0.0246,0.0000,0.9780,0.0462,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s2,7,21532,6636,0.9990,0.0125,0.0251,0.0000,0.9775,0.0369,0.0026,0.9991
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s0,1,8764,6636,0.9469,0.1172,0.1165,0.1178,0.8834,0.0866,0.0002,1.0000
HQ-WMCA,within,,resnet50,standard-s4,1,21532,6636,0.9996,0.0088,0.0089,0.0086,0.9911,0.0236,0.0006,1.0000
HQ-WMCA,within,,resnet50,standard-s3,7,21532,6636,0.9998,0.0116,0.0232,0.0000,0.9792,0.0418,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s0,2,7620,6636,0.9768,0.0869,0.0502,0.1236,0.9421,0.0612,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s2,8,21532,6636,0.9993,0.0151,0.0301,0.0000,0.9730,0.0417,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s4,2,21532,6636,0.9998,0.0158,0.0316,0.0000,0.9717,0.0334,0.0002,1.0000
HQ-WMCA,within,,resnet50,standard-s3,8,21532,6636,0.9997,0.0125,0.0251,0.0000,0.9775,0.0454,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s0,3,6852,6636,0.9215,0.2129,0.1025,0.3233,0.8743,0.2091,0.0002,0.9999
HQ-WMCA,within,,resnet50,standard-s2,9,21532,6636,0.9994,0.0157,0.0313,0.0000,0.9720,0.0397,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s4,3,21532,6636,0.9999,0.0088,0.0177,0.0000,0.9842,0.0283,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s3,9,21532,6636,0.9998,0.0159,0.0318,0.0000,0.9715,0.0451,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s0,4,6804,6636,0.9771,0.0653,0.0631,0.0675,0.9364,0.1267,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s0,5,6144,6636,0.9699,0.0801,0.1258,0.0345,0.8838,0.2143,0.0001,1.0000
HQ-WMCA,within,,resnet50,standard-s2,10,21532,6636,0.9994,0.0162,0.0325,0.0000,0.9709,0.0403,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s4,4,21532,6636,1.0000,0.0223,0.0446,0.0000,0.9601,0.0632,0.0005,0.9999
HQ-WMCA,within,,resnet50,standard-s3,10,21532,6636,0.9997,0.0299,0.0598,0.0000,0.9465,0.0599,0.0042,0.9987
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s0,6,5940,6636,0.9583,0.1015,0.1355,0.0675,0.8716,0.2899,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s2,11,21532,6636,0.9994,0.0169,0.0338,0.0000,0.9697,0.0389,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s4,5,21532,6636,1.0000,0.0077,0.0153,0.0000,0.9863,0.0484,0.0001,1.0000
HQ-WMCA,within,,resnet50,standard-s3,11,21532,6636,1.0000,0.0078,0.0157,0.0000,0.9860,0.0460,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s0,7,5868,6636,0.9091,0.1822,0.1231,0.2414,0.8645,0.1951,0.0002,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s0,8,5688,6636,0.9320,0.1700,0.1000,0.2399,0.8853,0.1609,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s1,1,8764,6636,0.9705,0.1016,0.1227,0.0805,0.8817,0.0601,0.0001,1.0000
HQ-WMCA,within,,resnet50,standard-s4,6,21532,6636,0.9999,0.0088,0.0177,0.0000,0.9842,0.0549,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s2,1,8764,6636,0.9762,0.0939,0.1763,0.0115,0.8410,0.0267,0.0002,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s0,9,5388,6636,0.8933,0.2331,0.1199,0.3463,0.8564,0.2552,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s1,2,7620,6636,0.9594,0.1085,0.0633,0.1537,0.9272,0.1283,0.0004,0.9999
HQ-WMCA,within,,resnet50,standard-s4,7,21532,6636,0.9999,0.0095,0.0190,0.0000,0.9830,0.0511,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s2,2,7620,6636,0.9764,0.0654,0.0460,0.0848,0.9500,0.0505,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s0,10,5340,6636,0.9363,0.1408,0.1091,0.1724,0.8843,0.2208,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s1,3,6852,6636,0.9159,0.2060,0.1204,0.2917,0.8617,0.1735,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s2,3,6852,6636,0.9711,0.0773,0.0367,0.1178,0.9548,0.0789,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s4,8,21532,6636,0.9998,0.0111,0.0222,0.0000,0.9801,0.0380,0.0008,0.9999
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s1,4,6804,6636,0.9793,0.0498,0.0636,0.0359,0.9393,0.0872,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s2,4,6804,6636,0.9655,0.1035,0.0778,0.1293,0.9168,0.1664,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s4,9,21532,6636,0.9997,0.0166,0.0059,0.0273,0.9919,0.0242,0.0096,0.9972
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s1,5,6144,6636,0.9579,0.1661,0.0593,0.2730,0.9183,0.1281,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s0,11,21532,6636,0.9946,0.0460,0.0303,0.0618,0.9664,0.0243,0.0003,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s2,5,6144,6636,0.9738,0.0689,0.0904,0.0474,0.9141,0.1793,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s4,10,21532,6636,0.9997,0.0071,0.0128,0.0014,0.9884,0.0383,0.0009,0.9999
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s1,6,5940,6636,0.9592,0.1749,0.0596,0.2902,0.9162,0.1367,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s2,6,5940,6636,0.9682,0.0884,0.0719,0.1049,0.9247,0.1224,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s3,1,8764,6636,0.9655,0.1114,0.1983,0.0244,0.8199,0.0774,0.0040,0.9986
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s1,7,5868,6636,0.9039,0.1546,0.1052,0.2040,0.8844,0.1749,0.0002,1.0000
HQ-WMCA,within,,resnet50,standard-s4,11,21532,6636,0.9999,0.0063,0.0126,0.0000,0.9887,0.0350,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s2,7,5868,6636,0.9375,0.1332,0.1098,0.1566,0.8853,0.2089,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s3,2,7620,6636,0.9670,0.0823,0.0727,0.0920,0.9253,0.1144,0.0002,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s1,8,5688,6636,0.9263,0.1402,0.0936,0.1868,0.8966,0.1620,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s2,8,5688,6636,0.9433,0.1242,0.1047,0.1437,0.8912,0.2092,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s4,1,8764,6636,0.9131,0.1743,0.2638,0.0848,0.7550,0.1041,0.0036,0.9991
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s1,9,5388,6636,0.8771,0.2929,0.1246,0.4612,0.8401,0.3093,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s3,3,6852,6636,0.9776,0.0664,0.0897,0.0431,0.9152,0.2064,0.0002,0.9999
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s2,9,5388,6636,0.9250,0.1250,0.1394,0.1106,0.8636,0.2325,0.0002,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s1,10,5340,6636,0.9166,0.1685,0.2394,0.0977,0.7755,0.2175,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s4,2,7620,6636,0.9664,0.1182,0.0468,0.1897,0.9382,0.0676,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s3,4,6804,6636,0.9675,0.0702,0.0614,0.0790,0.9367,0.1102,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s2,10,5340,6636,0.9330,0.1499,0.1145,0.1853,0.8781,0.1807,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s4,3,6852,6636,0.9480,0.1637,0.0832,0.2443,0.8999,0.1841,0.0002,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s3,5,6144,6636,0.9801,0.1023,0.0365,0.1681,0.9497,0.0448,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s4,4,6804,6636,0.9578,0.1120,0.0746,0.1494,0.9176,0.1262,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s3,6,5940,6636,0.9048,0.1767,0.1423,0.2112,0.8505,0.2156,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s1,11,21532,6636,0.9988,0.0166,0.0231,0.0101,0.9783,0.0248,0.0018,0.9993
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s3,7,5868,6636,0.8158,0.2976,0.2503,0.3448,0.7398,0.3070,0.0019,0.9995
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s4,5,6144,6636,0.9689,0.0941,0.0660,0.1221,0.9281,0.1375,0.0022,0.9993
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s2,11,21532,6636,0.9990,0.0124,0.0205,0.0043,0.9812,0.0370,0.0008,0.9997
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s0,1,5340,6636,0.8513,0.2421,0.1710,0.3132,0.8140,0.2874,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s3,8,5688,6636,0.9025,0.1739,0.1266,0.2213,0.8635,0.3003,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s4,6,5940,6636,0.8619,0.2597,0.1416,0.3779,0.8336,0.2867,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s1,1,5340,6636,0.9262,0.1754,0.1051,0.2457,0.8802,0.1728,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s0,2,5388,6636,0.8438,0.2479,0.1897,0.3060,0.7981,0.4768,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s3,9,5388,6636,0.9208,0.1899,0.1010,0.2787,0.8803,0.2083,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s4,7,5868,6636,0.9104,0.1675,0.1224,0.2126,0.8681,0.2258,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s1,2,5388,6636,0.8305,0.2618,0.1487,0.3750,0.8276,0.2308,0.0002,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s0,3,5688,6636,0.8194,0.2613,0.1892,0.3333,0.7957,0.2825,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s3,10,5340,6636,0.9503,0.1282,0.0567,0.1997,0.9283,0.1309,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s4,8,5688,6636,0.9401,0.1272,0.0747,0.1796,0.9143,0.1642,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s1,3,5688,6636,0.7680,0.2982,0.1956,0.4009,0.7829,0.3199,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s0,4,5868,6636,0.8535,0.2354,0.1274,0.3434,0.8499,0.2452,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s4,9,5388,6636,0.8166,0.2333,0.0801,0.3865,0.8877,0.2091,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s1,4,5868,6636,0.7818,0.2805,0.1530,0.4080,0.8202,0.3658,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s0,5,5940,6636,0.8671,0.2806,0.1345,0.4267,0.8348,0.2175,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s4,10,5340,6636,0.8181,0.2686,0.1795,0.3578,0.8018,0.1949,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s1,5,5940,6636,0.9407,0.1358,0.0891,0.1825,0.9011,0.2152,0.0125,0.9995
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s0,6,6144,6636,0.9402,0.1357,0.0990,0.1724,0.8933,0.2085,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s3,11,21532,6636,0.9721,0.0524,0.0488,0.0560,0.9504,0.0428,0.0024,0.9996
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s1,6,6144,6636,0.9354,0.1331,0.0909,0.1753,0.9002,0.2642,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s0,7,6804,6636,0.9614,0.0783,0.0948,0.0618,0.9087,0.1325,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s2,1,5340,6636,0.9032,0.2076,0.1034,0.3118,0.8748,0.1995,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s1,7,6804,6636,0.9331,0.1541,0.0941,0.2141,0.8933,0.2085,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-freq-s4,11,21532,6636,0.9995,0.0040,0.0081,0.0000,0.9928,0.0250,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s2,2,5388,6636,0.8661,0.2765,0.1608,0.3922,0.8149,0.4054,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s0,8,6852,6636,0.9141,0.2273,0.0882,0.3664,0.8826,0.1891,0.0061,0.9997
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s1,8,6852,6636,0.9028,0.2833,0.1054,0.4612,0.8573,0.1887,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s2,3,5688,6636,0.6883,0.3668,0.3370,0.3966,0.6567,0.5334,0.0016,0.9996
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s3,1,5340,6636,0.9259,0.1579,0.0988,0.2170,0.8888,0.2033,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s0,9,7620,6636,0.9512,0.1453,0.0650,0.2256,0.9182,0.1799,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s1,9,7620,6636,0.9473,0.1226,0.0785,0.1667,0.9123,0.1519,0.0019,0.9993
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s3,2,5388,6636,0.8149,0.2704,0.1643,0.3764,0.8134,0.4827,0.0007,0.9998
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s2,4,5868,6636,0.8044,0.2603,0.2217,0.2989,0.7702,0.2976,0.0002,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s0,10,8764,6636,0.9970,0.0266,0.0532,0.0000,0.9524,0.0286,0.0069,0.9981
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s3,3,5688,6636,0.8586,0.2448,0.1678,0.3218,0.8160,0.2926,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s2,5,5940,6636,0.8890,0.2019,0.1653,0.2385,0.8270,0.2559,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s1,10,8764,6636,0.9888,0.0358,0.0702,0.0014,0.9370,0.0317,0.0014,0.9994
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s3,4,5868,6636,0.8299,0.2202,0.1746,0.2658,0.8159,0.2857,0.0008,0.9998
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s2,6,6144,6636,0.9257,0.2113,0.0907,0.3319,0.8840,0.2213,0.0042,0.9993
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s3,5,5940,6636,0.8883,0.1913,0.1571,0.2256,0.8357,0.2980,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s2,7,6804,6636,0.9498,0.1219,0.0729,0.1710,0.9168,0.1300,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s0,11,21532,6636,0.9997,0.0063,0.0098,0.0029,0.9910,0.0317,0.0004,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s3,6,6144,6636,0.9539,0.1185,0.0961,0.1408,0.8992,0.2093,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s2,8,6852,6636,0.9417,0.1834,0.0779,0.2888,0.8999,0.1791,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s1,11,21532,6636,0.9944,0.0449,0.0567,0.0330,0.9458,0.0140,0.0007,0.9999
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s4,1,5340,6636,0.9000,0.2329,0.1037,0.3621,0.8692,0.2219,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s3,7,6804,6636,0.9593,0.1945,0.0571,0.3319,0.9141,0.0858,0.0002,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s2,9,7620,6636,0.9542,0.1491,0.0712,0.2270,0.9124,0.1210,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s4,2,5388,6636,0.7970,0.2862,0.2190,0.3534,0.7669,0.4180,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s3,8,6852,6636,0.9551,0.2029,0.0567,0.3491,0.9126,0.1505,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s4,3,5688,6636,0.8411,0.2508,0.2359,0.2658,0.7610,0.3846,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s2,10,8764,6636,0.9983,0.0157,0.0315,0.0000,0.9718,0.0100,0.0001,1.0000
HQ-WMCA,within,,resnext101_64x4d,IBT-reverse-s3,9,7620,6636,0.9533,0.1078,0.0862,0.1293,0.9093,0.1258,0.0057,0.9982
HQ-WMCA,within,,resnext101_64x4d,standard-s0,1,21532,6636,0.9433,0.0698,0.0692,0.0704,0.9307,0.0556,0.0069,0.9983
